tiempo,salida,entrada
1294.3,10.949695,10.0
1294.4,11.136878,10.0
1294.5,10.935727,10.0
1294.6,10.740506,10.0
1294.7,11.052571,10.0
1294.8,10.811539,10.0
1294.9,10.840082,10.0
1295.0,10.990260,10.0
1295.1,11.099111,10.0
1295.2,11.027045,10.0
1295.3,11.140985,10.0
1295.4,10.894847,10.0
1295.5,11.045922,10.0
1295.6,11.007791,10.0
1295.7,11.125662,10.0
1295.8,11.049540,10.0
1295.9,11.080749,10.0
1296.0,10.991163,10.0
1296.1,10.966242,10.0
1296.2,10.910609,10.0
1296.3,10.806773,10.0
1296.4,10.966369,10.0
1296.5,10.937334,10.0
1296.6,10.995371,10.0
1296.7,10.945004,10.0
1296.8,11.170658,10.0
1296.9,10.967228,10.0
1297.0,10.951009,10.0
1297.1,11.015172,10.0
1297.2,11.012857,10.0
1297.3,11.188273,10.0
1297.4,11.045856,10.0
1297.5,11.013466,10.0
1297.6,11.036646,10.0
1297.7,11.170011,10.0
1297.8,10.915869,10.0
1297.9,11.030378,10.0
1298.0,11.110040,10.0
1298.1,11.010577,10.0
1298.2,11.191608,10.0
1298.3,11.043643,10.0
1298.4,11.132313,10.0
1298.5,11.140744,10.0
1298.6,11.106374,10.0
1298.7,11.101924,10.0
1298.8,11.062217,10.0
1298.9,11.053548,10.0
1299.0,10.895886,10.0
1299.1,10.998593,10.0
1299.2,11.111159,10.0
1299.3,11.147733,10.0
1299.4,10.906168,10.0
1299.5,11.111068,10.0
1299.6,11.047732,10.0
1299.7,11.062244,10.0
1299.8,11.049216,10.0
1299.9,11.044397,10.0
1300.0,11.190619,10.0
1300.1,10.956873,10.0
1300.2,10.959262,10.0
1300.3,10.887993,10.0
1300.4,11.181842,10.0
1300.5,11.178980,10.0
1300.6,10.963400,10.0
1300.7,11.010723,10.0
1300.8,10.987655,10.0
1300.9,11.153506,10.0
1301.0,11.039049,10.0
1301.1,11.136813,10.0
1301.2,10.985883,10.0
1301.3,11.085194,10.0
1301.4,10.971001,10.0
1301.5,10.911147,10.0
1301.6,11.206689,10.0
1301.7,10.978935,10.0
1301.8,10.990325,10.0
1301.9,10.877678,10.0
1302.0,11.115204,10.0
1302.1,11.113990,10.0
1302.2,10.964717,10.0
1302.3,11.070403,10.0
1302.4,10.992123,10.0
1302.5,10.993166,10.0
1302.6,11.086037,10.0
1302.7,10.844972,10.0
1302.8,10.994754,10.0
1302.9,10.969448,10.0
1303.0,11.143263,10.0
1303.1,11.107469,10.0
1303.2,10.969675,10.0
1303.3,11.161735,10.0
1303.4,10.974567,10.0
1303.5,11.011545,10.0
1303.6,11.094568,10.0
1303.7,10.861911,10.0
1303.8,11.201938,10.0
1303.9,11.071415,10.0
1304.0,11.068507,10.0
1304.1,11.049250,10.0
1304.2,11.216087,10.0
1304.3,11.141930,10.0
1304.4,11.050709,10.0
1304.5,11.015063,10.0
1304.6,10.917478,10.0
1304.7,11.193268,10.0
1304.8,11.178604,10.0
1304.9,11.075005,10.0
1305.0,11.156338,10.0
1305.1,11.105005,10.0
1305.2,11.120148,10.0
1305.3,11.164470,10.0
1305.4,11.065623,10.0
1305.5,10.981239,10.0
1305.6,11.234792,10.0
1305.7,10.935767,10.0
1305.8,11.114437,10.0
1305.9,11.109726,10.0
1306.0,11.137843,10.0
1306.1,11.178913,10.0
1306.2,10.997169,10.0
1306.3,11.116691,10.0
1306.4,11.129322,10.0
1306.5,11.112260,10.0
1306.6,11.256252,10.0
1306.7,10.967601,10.0
1306.8,10.936923,10.0
1306.9,11.214497,10.0
1307.0,11.073730,10.0
1307.1,11.051694,10.0
1307.2,10.962465,10.0
1307.3,11.018102,10.0
1307.4,11.313369,10.0
1307.5,11.018108,10.0
1307.6,11.004551,10.0
1307.7,11.199999,10.0
1307.8,11.224777,10.0
1307.9,10.992302,10.0
1308.0,10.993629,10.0
1308.1,11.022155,10.0
1308.2,10.965014,10.0
1308.3,11.135347,10.0
1308.4,11.170597,10.0
1308.5,11.085366,10.0
1308.6,11.144459,10.0
1308.7,11.048331,10.0
1308.8,11.142421,10.0
1308.9,11.054866,10.0
1309.0,11.274976,10.0
1309.1,11.075109,10.0
1309.2,11.072440,10.0
1309.3,11.117369,10.0
1309.4,11.150320,10.0
1309.5,11.281700,10.0
1309.6,11.049367,10.0
1309.7,11.061841,10.0
1309.8,11.241930,10.0
1309.9,11.031648,10.0
1310.0,10.900404,10.0
1310.1,11.189161,10.0
1310.2,11.000290,10.0
1310.3,11.148954,10.0
1310.4,11.275129,10.0
1310.5,11.232752,10.0
1310.6,11.119358,10.0
1310.7,11.169525,10.0
1310.8,11.181863,10.0
1310.9,11.160324,10.0
1311.0,11.091590,10.0
1311.1,11.103859,10.0
1311.2,11.154312,10.0
1311.3,11.084688,10.0
1311.4,11.192475,10.0
1311.5,11.247545,10.0
1311.6,10.987955,10.0
1311.7,11.156925,10.0
1311.8,11.238327,10.0
1311.9,11.087296,10.0
1312.0,11.281407,10.0
1312.1,11.059366,10.0
1312.2,11.250865,10.0
1312.3,11.262361,10.0
1312.4,11.089902,10.0
1312.5,11.035993,10.0
1312.6,11.121276,10.0
1312.7,11.093696,10.0
1312.8,11.144518,10.0
1312.9,11.197491,10.0
1313.0,11.294988,10.0
1313.1,11.151469,10.0
1313.2,11.070694,10.0
1313.3,11.144658,10.0
1313.4,11.241137,10.0
1313.5,11.211129,10.0
1313.6,11.217243,10.0
1313.7,11.009636,10.0
1313.8,11.070709,10.0
1313.9,11.179565,10.0
1314.0,10.975239,10.0
1314.1,10.846228,10.0
1314.2,11.176876,10.0
1314.3,11.094385,10.0
1314.4,11.133896,10.0
1314.5,11.076149,10.0
1314.6,11.180690,10.0
1314.7,10.952421,10.0
1314.8,11.132717,10.0
1314.9,11.225496,10.0
1315.0,11.223539,10.0
1315.1,11.065892,10.0
1315.2,11.053550,10.0
1315.3,10.960932,10.0
1315.4,11.216946,10.0
1315.5,11.119978,10.0
1315.6,11.102131,10.0
1315.7,11.152547,10.0
1315.8,11.105587,10.0
1315.9,11.060588,10.0
1316.0,11.269368,10.0
1316.1,11.198576,10.0
1316.2,10.995510,10.0
1316.3,11.155426,10.0
1316.4,11.301300,10.0
1316.5,11.117111,10.0
1316.6,11.198914,10.0
1316.7,11.439936,10.0
1316.8,11.063894,10.0
1316.9,11.179991,10.0
1317.0,11.219527,10.0
1317.1,11.106439,10.0
1317.2,11.125105,10.0
1317.3,11.351257,10.0
1317.4,11.282366,10.0
1317.5,11.253769,10.0
1317.6,11.218938,10.0
1317.7,11.097893,10.0
1317.8,11.072173,10.0
1317.9,11.276378,10.0
1318.0,11.236920,10.0
1318.1,11.333676,10.0
1318.2,11.009751,10.0
1318.3,11.171144,10.0
1318.4,11.188965,10.0
1318.5,11.082468,10.0
1318.6,11.070748,10.0
1318.7,11.338431,10.0
1318.8,11.137130,10.0
1318.9,11.115036,10.0
1319.0,11.239508,10.0
1319.1,11.080622,10.0
1319.2,11.153051,10.0
